date,house,median,temp,bcp_post_prob
2015-04-30,house_leak168,35.20203395071172,33.116667339394986,0
2015-05-31,house_leak168,30.921163136682907,28.344784866840985,0.004
2015-06-30,house_leak168,24.942212033087646,24.144676066508907,0.068
2015-07-31,house_leak168,23.957780148920676,22.727033729462136,0.94
2015-08-31,house_leak168,31.097110205103714,15.789699310421035,0.56
2015-09-30,house_leak168,33.88402920570568,23.308671794176412,0.022
2015-10-31,house_leak168,35.01904036295342,25.957021094845317,0.032
2015-11-30,house_leak168,36.62168776827722,24.821773956391237,0.006
2015-12-31,house_leak168,37.54295302443494,26.339378596888487,0.002
2016-01-31,house_leak168,39.087210071931075,29.203303399174043,0
2016-02-29,house_leak168,38.67492390465566,28.818174307967524,0.01
2016-03-31,house_leak168,37.219025736297155,22.54534041717007,0.008
